País,Entidad,Organismo,Departamento/Servicio,Email de contacto,Confianza,Solo formulario (URL),Fuente,Notas,Borrador Gmail creado
España,Ceuta,Ciudad Autónoma de Ceuta,"Consejería de Fomento, Medio Ambiente y Servicios Urbanos",medioambiente@ceuta.es,Media,,ceuta.es (directorio institucional),No verificado por fetch directo (web bloquea bots). Confirmar por tel. 956 51 00 51.,Sí
España,Melilla,Ciudad Autónoma de Melilla,Consejería de Medio Ambiente y Naturaleza (+ Protección Civil),consejeriamedioambiente@melilla.es,Alta (verificado),,https://medioambientemelilla.es/contacto,CC sugerido: proteccioncivil@melilla.es (también verificado).,Sí
España,Cabildo de Tenerife,Cabildo Insular de Tenerife,Consorcio de Prevención Extinción de Incendios y Salvamento (Bomberos de Tenerife),info@bomberostenerife.com,Media,,https://bomberostenerife.es (sección Contactar),El Cabildo no publica email propio de Medio Ambiente; este consorcio es el operativo real.,Sí
España,Cabildo de Gran Canaria,Cabildo Insular de Gran Canaria,Servicio de Medio Ambiente,medioambienteadministrativo@grancanaria.com,Media,,cabildo.grancanaria.com (PDFs oficiales),Web SPA no verificable por fetch directo.,Sí
España,Cabildo de Lanzarote,Cabildo Insular de Lanzarote,Área de Medio Ambiente (Agentes de Medio Ambiente),medioambiente@cabildodelanzarote.com,Media,,cabildodelanzarote.com (página oficial de teléfonos),CC posible: agentesMA@cabildodelanzarote.com (guardia 24h). Tel. 928 598 548.,Sí
España,Cabildo de Fuerteventura,Cabildo Insular de Fuerteventura,Consejería de Medio Ambiente (Agentes de Medio Ambiente),agentes@cabildofuer.es,Alta (verificado),,cabildofuer.es (nota de prensa oficial),,Sí
España,Cabildo de La Palma,Cabildo Insular de La Palma,Servicio Central de Medioambiente,medio.ambiente@cablapalma.es,Alta (verificado),,https://cabildodelapalma.es/es/servicio-central-medioambiente,,Sí
España,Cabildo de La Gomera,Cabildo Insular de La Gomera,Área de Medio Ambiente y Política Territorial,Sin email publicado,Baja,https://lagomera.sedelectronica.es,lagomera.es (directorio telefónico),Solo tel. 922 870 552. Pendiente: enviar por sede electrónica.,No (solo formulario)
España,Cabildo de El Hierro,Cabildo Insular de El Hierro,Área de Medio Ambiente / CECOPIN,informacion@elhierro.es,Baja (genérico),https://elhierro.sedelectronica.es,elhierro.es/es/organo-ambiental-de-el-hierro,,Sí
España,Consell de Mallorca,Consell Insular de Mallorca,Direcció Insular de Medi Ambient,mediambient@conselldemallorca.net,Media,,conselldemallorca.es/medi-ambient,"Web render JS, no verificado por fetch directo.",Sí
España,Consell Insular de Menorca,Consell Insular de Menorca,Servei d'Atenció al Ciutadà (sin depto. único de Medi Ambient con email propio),info.sac@cime.es,Baja (genérico),https://seuelectronica.cime.es,cime.es,,Sí
España,Consell d'Eivissa,Consell Insular d'Eivissa,Àrea de Medi Ambient (Gestión Ambiental y Sostenibilidad),mediambient@conselldeivissa.es,Alta (verificado),,conselldeivissa.es/es/departamentos,CC posible: oamr@conselldeivissa.es,Sí
España,Consell de Formentera,Consell Insular de Formentera,Oficina de Medi Ambient,mediambient@conselldeformentera.cat,Alta (verificado),,consellinsulardeformentera.cat,,Sí
España,Baleares (referencia técnica),IBANAT (Govern Balear),Gerencia - Institut Balear de la Natura (operativo real de incendios forestales),gerenciaibanat@ibanat.caib.es,Media,,ibanat.caib.es,No es un consell insular; es el organismo técnico que realmente gestiona la extinción en Baleares.,Sí
Portugal,Portugal (ICNF),Instituto da Conservação da Natureza e das Florestas (ICNF),Núcleo SIG / Informação Geográfica (geoCatálogo - dataset áreas ardidas),sig@icnf.pt,Alta (verificado),,geocatalogo.icnf.pt/metadados/area_ardida.html,pointOfContact oficial en la ficha ISO 19115 del dataset. CC sugerido: geral@icnf.pt,Sí
Portugal,Portugal (ANEPC),Autoridade Nacional de Emergência e Proteção Civil (ANEPC),Gabinete geral / sede (Carnaxide),geral@prociv.pt,Media,https://prociv.gov.pt/pt/mensagens/,https://prociv.gov.pt/pt/contactos,No existe email específico de dados abertos; pedir explícitamente ser derivado al SADO/gabinete responsable.,Sí
Portugal,Portugal (IPMA),Instituto Português do Mar e da Atmosfera (IPMA),Webmaster / API dados abertos,webmaster@ipma.pt,Alta (verificado),,https://api.ipma.pt/open-data,La propia documentación de la API pide identificarse aquí para el índice RCM/FWI.,Sí
Portugal,Portugal (AGIF/SGIFR),Agência para a Gestão Integrada de Fogos Rurais (AGIF),"Sede / coordinación SGIFR (portal sgifr.gov.pt, visor GeoSIFOR)",agif@agif.pt,Alta (verificado),,https://agif.pt/pt/contactos,Posible fuente primaria/oficial mejor que fogos.pt para incendios activos en tiempo real. Recomendado como destinatario principal junto a ICNF.,Sí
